epoch,train_loss,validation_loss,validation_macro_f1,validation_accuracy,architecture,regime,seed
1,0.9517352848564176,1.374833618283076,0.5149511281992942,0.5697865353037767,resnet50,balanced_ce,1337
2,0.6125078419390378,0.6828151759255696,0.7572425682721949,0.7339901477832512,resnet50,balanced_ce,1337
3,0.5761581260625842,0.2869432180269647,0.903425735077068,0.8850574712643678,resnet50,balanced_ce,1337
4,0.4022243319161118,0.4323884302074294,0.8586426090154927,0.8456486042692939,resnet50,balanced_ce,1337
5,0.3564988452384677,0.3042573482532219,0.8764475686202399,0.8719211822660099,resnet50,balanced_ce,1337
6,0.2633931853754449,0.1898203424876938,0.9180083162978508,0.9261083743842364,resnet50,balanced_ce,1337
7,0.2227644536362695,0.1063213445588775,0.9668751997801716,0.9655172413793104,resnet50,balanced_ce,1337
8,0.1971204382987768,0.4920440020875707,0.8713226895390083,0.8686371100164204,resnet50,balanced_ce,1337
9,0.1696164303889697,0.1024475089214705,0.9729287107779048,0.9704433497536946,resnet50,balanced_ce,1337
10,0.1533271827366733,0.1543530252424171,0.962075542199664,0.9589490968801314,resnet50,balanced_ce,1337
11,0.109498905385918,0.0828559004544159,0.9722486101351788,0.9671592775041052,resnet50,balanced_ce,1337
12,0.1354672177899334,0.0499751609413653,0.9881680880826016,0.9885057471264368,resnet50,balanced_ce,1337
13,0.1407052919553406,0.1680844024524141,0.9499781620221314,0.9376026272577996,resnet50,balanced_ce,1337
14,0.1029403594497637,0.0799318818751667,0.97066835433918,0.9720853858784894,resnet50,balanced_ce,1337
15,0.0828583044548288,0.0539160660958936,0.9828373514409444,0.9786535303776684,resnet50,balanced_ce,1337
16,0.0854971147235646,0.1638587591267375,0.940059205500382,0.942528735632184,resnet50,balanced_ce,1337
17,0.0628131301091535,0.0291494837422899,0.9957253035599688,0.9950738916256158,resnet50,balanced_ce,1337
18,0.0499344672262995,0.0439209009641067,0.9855422262581848,0.9819376026272578,resnet50,balanced_ce,1337
19,0.0639037093534731,0.1453761097362222,0.9579224640965712,0.9507389162561576,resnet50,balanced_ce,1337
20,0.0387237810269521,0.0313826512593686,0.9914502935336268,0.9901477832512317,resnet50,balanced_ce,1337
